race_name,race_category,age_category,runner_name,time,overall_rank,category_rank
Pata Salada,10K,45-49,Lindsay PRIME,02:13:23,98,10
Pata Salada,10K,45-49,Emma ARANA COLLAZO,02:17:39,103,11
Pata Salada,10K,45-49,Roberto LEOS,02:23:55,110,12
Pata Salada,10K,45-49,J Pedro ROMERO FIOL,02:26:52,113,13
Pata Salada,10K,45-49,Honour RUFFER,02:27:06,114,14
Pata Salada,10K,45-49,Corey RUFFER,02:29:00,120,15
Pata Salada,10K,45-49,Claudia CASTRO ORTIZ,02:29:24,122,16
Pata Salada,10K,45-49,Anonymous __anon_1389,02:33:09,128,17
Pata Salada,10K,45-49,Rocio PEREZ MONTAGUT,02:33:10,129,18
Pata Salada,10K,45-49,Daniel BUCIO,02:44:15,138,19
Pata Salada,10K,45-49,Antonio AMEZCUA,02:48:57,141,20
Pata Salada,10K,45-49,Jaqueline LOPEZ TENORIO,02:49:30,142,21
Pata Salada,10K,50-54,César Arturo SÁNCHEZ ARREAGA,01:37:47,26,1
Pata Salada,10K,50-54,Elizabeth OJEDA JIMENEZ,01:38:17,27,2
Pata Salada,10K,50-54,Ma Guadalupe TIERRAFRIA,01:38:51,28,3
Pata Salada,10K,50-54,Pedro MEDINA,01:48:20,53,4
Pata Salada,10K,50-54,Claudia Leticia GARCIA SANCHEZ,01:50:30,60,5
Pata Salada,10K,50-54,Rosalva AMADOR TOMAS,02:03:41,74,6
Pata Salada,10K,50-54,Rodolfo MONTOYA,02:05:55,77,7
Pata Salada,10K,50-54,Jorge BUTANDA BREÑA,02:08:10,80,8
Pata Salada,10K,50-54,Aida VALLADARES,02:09:03,83,9
Pata Salada,10K,50-54,Verónica VALLADARES,02:10:48,89,10
Pata Salada,10K,50-54,Adriana Guadalupe ARIAS AVALOS,02:11:21,91,11
Pata Salada,10K,50-54,Rocio GUTIÉRREZ,02:12:45,95,12
Pata Salada,10K,50-54,Luis Guillermo OROZCO HERNANDEZ,02:14:57,100,13
Pata Salada,10K,50-54,Berenice CHAVEZ,02:22:15,107,14
Pata Salada,10K,50-54,Ana Veronica ROSALES MEZA,02:28:08,117,15
Pata Salada,10K,50-54,Ruth GONZALEZ REYES,03:10:09,150,16
Pata Salada,10K,50-54,Roberto PALACIOS,03:34:28,153,17
Pata Salada,10K,55-59,Eduardo HUERTA,01:28:35,20,1
Pata Salada,10K,55-59,Fredy AGUILAR,01:48:34,54,2
Pata Salada,10K,55-59,Roberto MARTINEZ HERNANDEZ,02:02:09,73,3
Pata Salada,10K,55-59,Ricardo BELTRÁN DEL BOSQUE,02:11:57,93,4
Pata Salada,10K,55-59,Blanaca Estela FRIAS RUIZ,02:17:27,102,5
Pata Salada,10K,55-59,Jorge MARTÍNEZ,02:19:09,105,6
Pata Salada,10K,55-59,Rolando ALCANTARA,02:22:16,108,7
Pata Salada,10K,55-59,María Isabel GARCÍA PALACIOS,02:43:58,137,8
Pata Salada,10K,55-59,Margot MARTINEZ OROZCO,02:45:23,139,9
Pata Salada,10K,60-64,Fernando FERNÁNDEZ,01:49:26,55,1
Pata Salada,10K,60-64,Zoltan PETER,01:54:25,63,2
Pata Salada,10K,60-64,Maria Del Refugio Refugio OLIVAS SANCHEZ,02:13:17,97,3
Pata Salada,10K,60-64,Mario Ruben VELLER,02:32:46,127,4
Pata Salada,10K,60-64,Angel HERNANDEZ,02:34:01,130,5
Pata Salada,10K,60-64,María Magdalena HERNÁNDEZ HERNÁNDEZ,02:52:27,144,6
Pata Salada,10K,60-64,Laura VILLANUEVA LEAL,02:54:01,146,7
Pata Salada,10K,65-69,Karen MARKEL,01:41:56,40,1
